Year,Lender_LEI,State,County_Code,Census_Tract,Approved,Denied,Race,Sex,Income,Log_Income,Loan_Amount,Log_Loan_Amount,LTV,Loan_Type,DTI_Ratio,preapproval,Occupancy_Type,Index
2019,549300MGPZBLQDIL7538,IL,17197.0,17197880307.0,1,0,0_White,Female,71.0,4.2626798770413155,305000.0,12.628067055589549,95.0,FHA,44,2,1,137138
2019,549300U8L31JJT1ZDP60,IL,17055.0,17055040600.0,1,0,0_White,0_Male,46.0,3.828641396489095,65000.0,11.082142548877775,97.0,Conventional,45,2,1,399683
2019,549300BX448ALT10FI43,IL,17031.0,17031828505.0,1,0,Black,0_Male,139.0,4.9344739331306915,155000.0,11.951180395901384,98.188,FHA,41,2,1,129456
2019,5493000TY1MM1LLTM666,IL,17097.0,17097864303.0,1,0,0_White,0_Male,153.0,5.030437921392435,305000.0,12.628067055589549,62.63,Conventional,39,1,1,44147
2019,254900O723MCLR701H50,IL,17031.0,17031710800.0,1,0,Latinx,0_Male,50.0,3.912023005428146,165000.0,12.013700752882718,100.0,VA,50%-60%,2,1,556245
2019,549300RN01LBYR8ZVX74,IL,17031.0,17031804506.0,1,0,0_White,Female,91.0,4.51085950651685,75000.0,11.225243392518447,37.5,Conventional,30%-<36%,2,1,84281
2019,5493001R92DY5DI1DI85,IL,17063.0,17063000102.0,1,0,0_White,Female,52.0,3.9512437185814275,235000.0,12.367340793126296,74.603,Conventional,50%-60%,2,1,158218
2019,549300HW662MN1WU8550,IL,17197.0,17197881111.0,1,0,0_White,Female,124.0,4.820281565605037,245000.0,12.409013489526863,90.0,Conventional,41,2,1,520678
2019,549300U3721PJGQZYY68,IL,17063.0,17063000103.0,1,0,0_White,0_Male,99.0,4.59511985013459,305000.0,12.628067055589549,80.0,Conventional,42,2,1,480342
2019,549300BX448ALT10FI43,IL,17031.0,17031430800.0,0,1,0_White,Female,54.0,3.9889840465642745,165000.0,12.013700752882718,95.0,Conventional,42,2,1,129879
2019,549300AR4BCLQFU47165,IL,17195.0,17195001200.0,1,0,0_White,0_Male,96.0,4.564348191467836,25000.0,10.126631103850338,80.0,Conventional,44,1,3,52439
2019,SS1TRMSN6BRNMOREEV51,IL,17031.0,17031230300.0,1,0,Latinx,Female,80.0,4.382026634673881,405000.0,12.911642346088676,80.0,Conventional,46,2,1,383331
2019,549300LBCBNR1OT00651,IL,17043.0,17043846304.0,1,0,0_White,Female,169.0,5.1298987149230735,375000.0,12.834681304952548,85.0,FHA,41,2,1,548688
2019,549300B8C23BCNGJ4960,IL,17015.0,17015960300.0,1,0,Latinx,0_Male,52.0,3.9512437185814275,25000.0,10.126631103850338,100.0,VA,0%-20%,2,1,458014
2019,549300VJ7C5JB4W87F48,IL,17031.0,17031824120.0,1,0,0_White,0_Male,77.0,4.343805421853684,195000.0,12.180754837545884,96.5,FHA,30%-<36%,2,1,368222
2019,549300YOESI1GLKRL151,IL,17031.0,17031824003.0,1,0,0_White,Female,61.0,4.110873864173311,205000.0,12.230765258120545,101.402,FHA,30%-<36%,2,1,553237
2019,549300MGPZBLQDIL7538,IL,17031.0,17031030500.0,1,0,0_White,Female,46.0,3.828641396489095,165000.0,12.013700752882718,75.0,Conventional,47,2,1,136830
2019,5493000F6NFDOVVZP043,IL,17203.0,17203030502.0,1,0,0_White,0_Male,88.0,4.477336814478207,145000.0,11.884489021402711,100.0,VA,30%-<36%,2,1,86577
2019,549300AG64NHILB7ZP05,IL,17031.0,17031130200.0,1,0,0_White,Female,93.0,4.532599493153256,395000.0,12.886641043883259,80.0,Conventional,44,2,1,540190
2019,549300MGPZBLQDIL7538,IL,17089.0,17089851102.0,1,0,Latinx,0_Male,53.0,3.970291913552122,155000.0,11.951180395901384,101.25,Conventional,30%-<36%,2,1,135820
2019,549300ZZME37MXI1EF14,IL,17075.0,17075950200.0,1,0,0_White,0_Male,51.0,3.9318256327243257,175000.0,12.072541252905651,99.929,FHA,44,2,1,449421
2019,549300VQUTI5IU7GXT57,IL,17031.0,17031826500.0,1,0,0_White,0_Male,277.0,5.6240175061873385,105000.0,11.56171562913966,80.0,Conventional,30%-<36%,2,3,329699
2019,549300ZUZB0H1M5M3I66,IL,17113.0,17113001104.0,1,0,0_White,0_Male,81.0,4.394449154672439,215000.0,12.2783933071098,90.0,Conventional,20%-<30%,2,1,467369
2019,5493001SXWZ4OFP8Z903,IL,17089.0,17089850701.0,1,0,0_White,0_Male,117.0,4.762173934797756,105000.0,11.56171562913966,34.835,Conventional,20%-<30%,2,1,330434
2019,QFROUN1UWUYU0DVIWD51,IL,17031.0,17031818800.0,1,0,0_White,0_Male,136.0,4.912654885736052,25000.0,10.126631103850338,89.997,Conventional,30%-<36%,2,1,306946
2019,549300GUS13Z72B6KD63,IL,17099.0,17099962500.0,1,0,0_White,Female,104.0,4.6443908991413725,325000.0,12.691580461311874,80.0,Conventional,49,1,1,110715
2019,549300U3721PJGQZYY68,IL,17093.0,17093890700.0,1,0,0_White,Female,89.0,4.48863636973214,255000.0,12.449018824140563,96.5,FHA,47,2,1,488822
2019,B4TYDEB6GKMZO031MB27,IL,17163.0,17163504001.0,1,0,0_White,0_Male,138.0,4.927253685157205,205000.0,12.230765258120545,74.55,Conventional,43,2,1,170106
2019,549300121SF0K2LN2804,IL,17197.0,17197880416.0,1,0,Latinx,0_Male,74.0,4.30406509320417,175000.0,12.072541252905651,97.0,Conventional,37,2,1,382130
2019,549300WS8BW0I0BDA390,IL,17097.0,17097864205.0,1,0,0_White,0_Male,40.0,3.6888794541139363,145000.0,11.884489021402711,65.0,Conventional,47,2,1,64603
2019,AD6GFRVSDT01YPT1CS68,IL,17031.0,17031813900.0,1,0,0_White,0_Male,48.0,3.871201010907891,205000.0,12.230765258120545,80.0,Conventional,41,2,1,53701
2019,5493000D7DINI9PZN749,IL,17119.0,17119403533.0,1,0,0_White,0_Male,76.0,4.330733340286331,205000.0,12.230765258120545,95.0,Conventional,40,1,1,358052
2019,7H6GLXDRUGQFU57RNE97,IL,17031.0,17031210100.0,0,1,Latinx,0_Male,47.0,3.8501476017100584,265000.0,12.487485104968359,82.0,FHA,>60%,2,1,409485
2019,549300WS8BW0I0BDA390,IL,17167.0,17167001003.0,1,0,0_White,0_Male,54.0,3.9889840465642745,55000.0,10.915088464214607,95.0,Conventional,0%-20%,2,1,65235
2019,549300JKR164SLNO6Y85,IL,17031.0,17031500100.0,1,0,Black,Female,44.0,3.784189633918261,185000.0,12.128111104060462,100.556,FHA,30%-<36%,2,1,15732
2019,549300O7SGM8FH65GQ47,IL,17197.0,17197883516.0,1,0,0_White,0_Male,222.0,5.402677381872279,485000.0,13.091904169919621,85.66,Conventional,30%-<36%,2,1,355678
2019,6BYL5QZYBDK8S7L73M02,IL,17089.0,17089851907.0,1,0,0_White,Female,41.0,3.713572066704308,165000.0,12.013700752882718,95.0,Conventional,40,2,1,245044
2019,549300FGXN1K3HLB1R50,IL,17031.0,17031711100.0,1,0,Black,Female,82.0,4.406719247264253,195000.0,12.180754837545884,96.5,FHA,41,1,1,201269
2019,SS1TRMSN6BRNMOREEV51,IL,17201.0,17201001800.0,1,0,Latinx,0_Male,44.0,3.784189633918261,55000.0,10.915088464214607,96.5,FHA,30%-<36%,2,1,385007
2019,549300L0EV5UM3IRHJ33,IL,17119.0,17119402500.0,1,0,0_White,Female,41.0,3.713572066704308,95000.0,11.461632170582678,94.972,Conventional,30%-<36%,2,1,208938
2019,549300U3721PJGQZYY68,IL,17031.0,17031805108.0,1,0,Latinx,0_Male,103.0,4.634728988229636,105000.0,11.56171562913966,95.0,Conventional,37,2,1,508576
2019,KV8W1JTB8FZ821S5ED75,IL,17097.0,17097861702.0,0,1,0_White,Female,30.0,3.4011973816621555,115000.0,11.652687407345388,80.0,Conventional,>60%,2,1,319213
