,state_code,county_code,census_tract,Approved,Denied,White,Black,Asian,Other,Hispanic,Not Hispanic,Male,Female,Income,Log Income,LTV,Loan Amount,Log Loan Amount,DTI_20%-<30%,DTI_30%-<36%,DTI_36,DTI_38,DTI_39,DTI_40,DTI_41,DTI_42,DTI_43,DTI_44,DTI_45,DTI_46,DTI_47,DTI_48,DTI_50%-60%,DTI_<20%,DTI_>60%
56,WA,53033.0,53033028300.0,0,1,1,0,0,0,0,1,1,0,50.0,3.912023005428146,71.621,195000.0,12.180754837545884,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,KS,20091.0,20091053011.0,0,1,0,0,1,0,0,1,0,1,44.0,3.784189633918261,80.0,265000.0,12.487485104968359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,NJ,34005.0,34005700800.0,1,0,1,0,0,0,0,1,1,0,50.0,3.912023005428146,98.188,185000.0,12.128111104060462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,MO,29169.0,29169470102.0,1,0,1,0,0,0,0,1,0,1,142.0,4.955827057601261,83.33,125000.0,11.736069016284437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,KY,21065.0,21065920300.0,1,0,1,0,0,0,0,1,1,0,29.0,3.367295829986474,92.31,65000.0,11.082142548877775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,CA,6001.0,6001444601.0,1,0,0,0,1,0,0,1,1,0,190.0,5.247024072160486,84.316,805000.0,13.5985975564007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,PA,42129.0,42129802304.0,1,0,1,0,0,0,0,1,1,0,360.0,5.886104031450156,89.892,65000.0,11.082142548877775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,TX,48157.0,48157674400.0,1,0,0,0,1,0,0,1,1,0,140.0,4.941642422609304,73.43,75000.0,11.225243392518447,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,AZ,4013.0,4013050606.0,1,0,1,0,0,0,0,1,1,0,83.0,4.418840607796598,95.0,335000.0,12.721885810807203,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,OH,39023.0,39023003200.0,0,1,1,0,0,0,1,0,1,0,95.0,4.553876891600541,133.35,125000.0,11.736069016284437,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,TX,48029.0,48029181711.0,0,1,0,1,0,0,1,0,1,0,185.0,5.220355825078324,97.0,165000.0,12.013700752882718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,TX,48121.0,48121020107.0,1,0,1,0,0,0,1,0,1,0,109.0,4.6913478822291435,100.0,335000.0,12.721885810807203,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,CA,6037.0,6037207900.0,1,0,1,0,0,0,0,1,1,0,142.0,4.955827057601261,74.6,555000.0,13.226723392728571,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,FL,12071.0,12071001201.0,1,0,1,0,0,0,0,1,0,1,81.0,4.394449154672439,70.0,165000.0,12.013700752882718,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,OH,39151.0,39151711402.0,1,0,1,0,0,0,0,1,1,0,116.0,4.7535901911063645,99.63,75000.0,11.225243392518447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,WA,53053.0,53053071209.0,1,0,1,0,0,0,0,1,0,1,49.0,3.8918202981106265,48.914,85000.0,11.350406535472453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,CA,6037.0,6037480201.0,1,0,1,0,0,0,0,1,1,0,320.0,5.768320995793772,43.02,105000.0,11.56171562913966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,FL,12071.0,12071010410.0,1,0,1,0,0,0,0,1,1,0,45.0,3.8066624897703196,100.0,235000.0,12.367340793126296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,PA,42129.0,42129802102.0,1,0,1,0,0,0,0,1,1,0,496.0,6.206575926724928,41.176,705000.0,13.465953081794405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,FL,12031.0,12031013402.0,1,0,1,0,0,0,0,1,1,0,79.0,4.3694478524670215,95.0,125000.0,11.736069016284437,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,WV,54037.0,54037972503.0,1,0,0,1,0,0,0,1,0,1,49.0,3.8918202981106265,100.0,175000.0,12.072541252905651,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,AL,1083.0,1083020802.0,1,0,1,0,0,0,0,1,1,0,33.0,3.4965075614664802,95.0,135000.0,11.813030057420567,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,WA,53005.0,53005010814.0,1,0,1,0,0,0,0,1,0,1,110.0,4.700480365792417,77.82,75000.0,11.225243392518447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,WA,53037.0,53037975300.0,1,0,1,0,0,0,0,1,0,1,151.0,5.017279836814924,77.22,615000.0,13.329377546788654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
